cw800 ch800 aw2000 ah2000 
xf200 xs2000 yf800 ys800 sbtrue
xf700 xs700 yf200 ys1800 sbtrue
xf888 xs873 yf1477 ys1389 sbtrue
xf873 xs972 yf1389 ys1491 sbtrue
xf972 xs888 yf1491 ys1477 sbtrue
xf920 xs830 yf440 ys582 sbtrue
xf830 xs844 yf582 ys429 sbtrue
xf844 xs920 yf429 ys440 sbtrue
xf604 xs590 yf568 ys477 sbtrue
xf590 xs459 yf477 ys447 sbtrue
xf459 xs604 yf447 ys568 sbtrue
xf889 xs929 yf510 ys646 sbtrue
xf929 xs943 yf646 ys625 sbtrue
xf943 xs889 yf625 ys510 sbtrue
xf595 xs681 yf1551 ys1488 sbtrue
xf681 xs567 yf1488 ys1537 sbtrue
xf567 xs595 yf1537 ys1551 sbtrue
xf1766 xs1922 yf563 ys390 sbtrue
xf1922 xs1814 yf390 ys529 sbtrue
xf1814 xs1766 yf529 ys563 sbtrue
xf472 xs530 yf883 ys947 sbtrue
xf530 xs577 yf947 ys890 sbtrue
xf577 xs472 yf890 ys883 sbtrue
xf274 xs333 yf1476 ys1405 sbtrue
xf333 xs250 yf1405 ys1398 sbtrue
xf250 xs274 yf1398 ys1476 sbtrue
xf1828 xs1816 yf1093 ys1220 sbtrue
xf1816 xs1906 yf1220 ys1076 sbtrue
xf1906 xs1828 yf1076 ys1093 sbtrue
xf1731 xs1578 yf834 ys825 sbtrue
xf1578 xs1652 yf825 ys796 sbtrue
xf1652 xs1731 yf796 ys834 sbtrue
xf905 xs802 yf1667 ys1592 sbtrue
xf802 xs783 yf1592 ys1732 sbtrue
xf783 xs905 yf1732 ys1667 sbtrue
xf624 xs741 yf1044 ys1059 sbtrue
xf741 xs760 yf1059 ys1003 sbtrue
xf760 xs624 yf1003 ys1044 sbtrue
xf1255 xs1323 yf1134 ys1075 sbtrue
xf1323 xs1312 yf1075 ys1001 sbtrue
xf1312 xs1255 yf1001 ys1134 sbtrue
xf1781 xs1770 yf347 ys417 sbtrue
xf1770 xs1876 yf417 ys339 sbtrue
xf1876 xs1781 yf339 ys347 sbtrue
xf444 xs434 yf1879 ys1828 sbtrue
xf434 xs357 yf1828 ys1828 sbtrue
xf357 xs444 yf1828 ys1879 sbtrue
xf1126 xs1177 yf591 ys650 sbtrue
xf1177 xs1151 yf650 ys678 sbtrue
xf1151 xs1126 yf678 ys591 sbtrue
xf1444 xs1390 yf1779 ys1730 sbtrue
xf1390 xs1498 yf1730 ys1889 sbtrue
xf1498 xs1444 yf1889 ys1779 sbtrue
xf584 xs575 yf1490 ys1313 sbtrue
xf575 xs481 yf1313 ys1478 sbtrue
xf481 xs584 yf1478 ys1490 sbtrue
xf944 xs920 yf1916 ys1918 sbtrue
xf920 xs1058 yf1918 ys1734 sbtrue
xf1058 xs944 yf1734 ys1916 sbtrue
xf369 xs297 yf1585 ys1551 sbtrue
xf297 xs369 yf1551 ys1703 sbtrue
xf369 xs369 yf1703 ys1585 sbtrue
xf169 xs275 yf1461 ys1361 sbtrue
xf275 xs139 yf1361 ys1334 sbtrue
xf139 xs169 yf1334 ys1461 sbtrue
xf749 xs754 yf761 ys768 sbtrue
xf754 xs628 yf768 ys610 sbtrue
xf628 xs749 yf610 ys761 sbtrue
xf874 xs883 yf1688 ys1700 sbtrue
xf883 xs972 yf1700 ys1679 sbtrue
xf972 xs874 yf1679 ys1688 sbtrue
xf236 xs267 yf1243 ys1188 sbtrue
xf267 xs274 yf1188 ys1261 sbtrue
xf274 xs236 yf1261 ys1243 sbtrue
xf466 xs443 yf203 ys233 sbtrue
xf443 xs550 yf233 ys368 sbtrue
xf550 xs466 yf368 ys203 sbtrue
xf1080 xs1143 yf798 ys769 sbtrue
xf1143 xs1021 yf769 ys915 sbtrue
xf1021 xs1080 yf915 ys798 sbtrue
xf964 xs1033 yf1809 ys1672 sbtrue
xf1033 xs1113 yf1672 ys1751 sbtrue
xf1113 xs964 yf1751 ys1809 sbtrue
xf1084 xs1130 yf304 ys417 sbtrue
xf1130 xs1049 yf417 ys429 sbtrue
xf1049 xs1084 yf429 ys304 sbtrue
xf1401 xs1565 yf383 ys479 sbtrue
xf1565 xs1485 yf479 ys426 sbtrue
xf1485 xs1401 yf426 ys383 sbtrue
xf1462 xs1466 yf993 ys1073 sbtrue
xf1466 xs1571 yf1073 ys1030 sbtrue
xf1571 xs1462 yf1030 ys993 sbtrue
xf650 xs705 yf1128 ys1073 sbtrue
xf705 xs777 yf1073 ys1162 sbtrue
xf777 xs650 yf1162 ys1128 sbtrue
xf1152 xs980 yf1087 ys1123 sbtrue
xf980 xs1110 yf1123 ys1142 sbtrue
xf1110 xs1152 yf1142 ys1087 sbtrue
xf471 xs389 yf813 ys749 sbtrue
xf389 xs372 yf749 ys794 sbtrue
xf372 xs471 yf794 ys813 sbtrue
xf202 xs154 yf682 ys692 sbtrue
xf154 xs60 yf692 ys652 sbtrue
xf60 xs202 yf652 ys682 sbtrue
xf612 xs622 yf643 ys606 sbtrue
xf622 xs594 yf606 ys567 sbtrue
xf594 xs612 yf567 ys643 sbtrue
xf1257 xs1378 yf901 ys862 sbtrue
xf1378 xs1345 yf862 ys1021 sbtrue
xf1345 xs1257 yf1021 ys901 sbtrue
xf1544 xs1540 yf1622 ys1756 sbtrue
xf1540 xs1500 yf1756 ys1679 sbtrue
xf1500 xs1544 yf1679 ys1622 sbtrue
xf877 xs807 yf1414 ys1465 sbtrue
xf807 xs940 yf1465 ys1573 sbtrue
xf940 xs877 yf1573 ys1414 sbtrue
xf1720 xs1621 yf1525 ys1417 sbtrue
xf1621 xs1652 yf1417 ys1417 sbtrue
xf1652 xs1720 yf1417 ys1525 sbtrue
xf964 xs923 yf1359 ys1409 sbtrue
xf923 xs949 yf1409 ys1397 sbtrue
xf949 xs964 yf1397 ys1359 sbtrue
end







